     CLASS    TP    FP    FN            PREC             REC              F1
         1   114   154    13       0.4253731       0.8976378       0.5772152
         2    32     3     9       0.9142857       0.7804878       0.8421053
         3     7     5    65       0.5833333       0.0972222       0.1666667
         4    20    14    61       0.5882353       0.2469136       0.3478261
         5    53    10    30       0.8412698       0.6385542       0.7260274
         6    74    39    18       0.6548673       0.8043478       0.7219512
         7    58    94    25       0.3815789       0.6987952       0.4936170
         8    61    38    40       0.6161616       0.6039604       0.6100000
         9    54    36    46       0.6000000       0.5400000       0.5684211
        10    81    32    30       0.7168142       0.7297297       0.7232143
        11    43    20    21       0.6825397       0.6718750       0.6771654
        12     8     5    40       0.6153846       0.1666667       0.2622951
        13    39    10    47       0.7959184       0.4534884       0.5777778
        14    66    21    14       0.7586207       0.8250000       0.7904192
        15     7     4    65       0.6363636       0.0972222       0.1686747
        16    79    88    37       0.4730539       0.6810345       0.5583039
        17    45    18    30       0.7142857       0.6000000       0.6521739
 MICRO-AVG   841   591   591       0.5872905       0.5872905       0.5872905
 MACRO-AVG                         0.6469462       0.5607609       0.5566973
