     CLASS    TP    FP    FN            PREC             REC              F1
         1   109    70    18       0.6089385       0.8582677       0.7124183
         2    37    11     4       0.7708333       0.9024390       0.8314607
         3    15    25    57       0.3750000       0.2083333       0.2678571
         4    29    17    52       0.6304348       0.3580247       0.4566929
         5    52    10    31       0.8387097       0.6265060       0.7172414
         6    77    38    15       0.6695652       0.8369565       0.7439614
         7    59    61    24       0.4916667       0.7108434       0.5812808
         8    70    51    31       0.5785124       0.6930693       0.6306306
         9    54    36    46       0.6000000       0.5400000       0.5684211
        10    86    33    25       0.7226891       0.7747748       0.7478261
        11    47    24    17       0.6619718       0.7343750       0.6962963
        12    14    13    34       0.5185185       0.2916667       0.3733333
        13    60    20    26       0.7500000       0.6976744       0.7228916
        14    66    20    14       0.7674419       0.8250000       0.7951807
        15    22     5    50       0.8148148       0.3055556       0.4444444
        16    76    61    40       0.5547445       0.6551724       0.6007905
        17    46    18    29       0.7187500       0.6133333       0.6618705
 MICRO-AVG   919   513   513       0.6417598       0.6417598       0.6417598
 MACRO-AVG                         0.6513289       0.6254113       0.6207410
