     CLASS    TP    FP    FN            PREC             REC              F1
         1   116   234    11       0.3314286       0.9133858       0.4863732
         2    30     2    11       0.9375000       0.7317073       0.8219178
         3     3     3    69       0.5000000       0.0416667       0.0769231
         4    14     9    67       0.6086957       0.1728395       0.2692308
         5    52    10    31       0.8387097       0.6265060       0.7172414
         6    72    35    20       0.6728972       0.7826087       0.7236181
         7    58   104    25       0.3580247       0.6987952       0.4734694
         8    59    32    42       0.6483516       0.5841584       0.6145833
         9    53    39    47       0.5760870       0.5300000       0.5520833
        10    72    28    39       0.7200000       0.6486486       0.6824645
        11    36    14    28       0.7200000       0.5625000       0.6315789
        12     5     0    43       1.0000000       0.1041667       0.1886792
        13    29     5    57       0.8529412       0.3372093       0.4833333
        14    65    20    15       0.7647059       0.8125000       0.7878788
        15     3     2    69       0.6000000       0.0416667       0.0779221
        16    76    94    40       0.4470588       0.6551724       0.5314685
        17    43    15    32       0.7413793       0.5733333       0.6466165
 MICRO-AVG   786   646   646       0.5488827       0.5488827       0.5488827
 MACRO-AVG                         0.6657517       0.5186391       0.5156107
