     CLASS    TP    FP    FN            PREC             REC              F1
         1   111    65    16       0.6306818       0.8740157       0.7326733
         2    39    36     2       0.5200000       0.9512195       0.6724138
         3    10    17    62       0.3703704       0.1388889       0.2020202
         4    11     7    70       0.6111111       0.1358025       0.2222222
         5    49    12    34       0.8032787       0.5903614       0.6805556
         6    62    17    30       0.7848101       0.6739130       0.7251462
         7    45    27    38       0.6250000       0.5421687       0.5806452
         8    52    14    49       0.7878788       0.5148515       0.6227545
         9    30    11    70       0.7317073       0.3000000       0.4255319
        10    68    16    43       0.8095238       0.6126126       0.6974359
        11    41    25    23       0.6212121       0.6406250       0.6307692
        12    13    22    35       0.3714286       0.2708333       0.3132530
        13    56    32    30       0.6363636       0.6511628       0.6436782
        14    61    16    19       0.7922078       0.7625000       0.7770701
        15    26    15    46       0.6341463       0.3611111       0.4601770
        16    40    22    76       0.6451613       0.3448276       0.4494382
        17    64   300    11       0.1758242       0.8533333       0.2915718
 MICRO-AVG   778   654   654       0.5432961       0.5432961       0.5432961
 MACRO-AVG                         0.6206298       0.5422486       0.5369033
