     CLASS    TP    FP    FN            PREC             REC              F1
         1   109    42    18       0.7218543       0.8582677       0.7841727
         2    38    15     3       0.7169811       0.9268293       0.8085106
         3    14    19    58       0.4242424       0.1944444       0.2666667
         4    32    25    49       0.5614035       0.3950617       0.4637681
         5    50    16    33       0.7575758       0.6024096       0.6711409
         6    76    36    16       0.6785714       0.8260870       0.7450980
         7    54    46    29       0.5400000       0.6506024       0.5901639
         8    73    57    28       0.5615385       0.7227723       0.6320346
         9    54    31    46       0.6352941       0.5400000       0.5837838
        10    84    34    27       0.7118644       0.7567568       0.7336245
        11    46    32    18       0.5897436       0.7187500       0.6478873
        12    16    27    32       0.3720930       0.3333333       0.3516484
        13    60    35    26       0.6315789       0.6976744       0.6629834
        14    67    22    13       0.7528090       0.8375000       0.7928994
        15    30    16    42       0.6521739       0.4166667       0.5084746
        16    60    52    56       0.5357143       0.5172414       0.5263158
        17    47    17    28       0.7343750       0.6266667       0.6762590
 MICRO-AVG   910   522   522       0.6354749       0.6354749       0.6354749
 MACRO-AVG                         0.6222243       0.6247685       0.6144372
